"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Jun 01 21:21:23 CST 2024","Sat Jun 01 21:21:26 CST 2024","2829","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_wait7[chrome-3]",""
"passed","Sat Jun 01 21:21:28 CST 2024","Sat Jun 01 21:21:31 CST 2024","2311","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_click_fanyi[chrome-23]",""
"passed","Sat Jun 01 21:21:40 CST 2024","Sat Jun 01 21:21:43 CST 2024","2462","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_wait[chrome]",""
"failed","Sat Jun 01 21:21:38 CST 2024","Sat Jun 01 21:21:42 CST 2024","4050","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_wait7[chrome-8]",""
"failed","Sat Jun 01 21:21:28 CST 2024","Sat Jun 01 21:21:32 CST 2024","3963","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_wait7[chrome-1]",""
"passed","Sat Jun 01 21:21:40 CST 2024","Sat Jun 01 21:21:41 CST 2024","1005","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_click_fanyi[chrome-26]",""
"passed","Sat Jun 01 21:21:28 CST 2024","Sat Jun 01 21:21:29 CST 2024","443","test_case","test_ml","","","","test_multithreading[chrome-1]",""
"passed","Sat Jun 01 21:21:30 CST 2024","Sat Jun 01 21:21:33 CST 2024","2381","test_case","test_title","TestMainPage","","","标题1","用例描述1-----------------------"
"failed","Sat Jun 01 21:21:27 CST 2024","Sat Jun 01 21:21:29 CST 2024","2414","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_wait7[chrome-4]",""
"passed","Sat Jun 01 21:21:31 CST 2024","Sat Jun 01 21:21:32 CST 2024","1026","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_click_fanyi[chrome-28]",""
"passed","Sat Jun 01 21:21:37 CST 2024","Sat Jun 01 21:21:40 CST 2024","2474","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_click_fanyi[chrome-29]",""
"passed","Sat Jun 01 21:21:27 CST 2024","Sat Jun 01 21:21:28 CST 2024","948","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_click_fanyi[chrome-22]",""
"passed","Sat Jun 01 21:21:37 CST 2024","Sat Jun 01 21:21:40 CST 2024","2378","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_click_fanyi[chrome-25]",""
"passed","Sat Jun 01 21:21:32 CST 2024","Sat Jun 01 21:21:33 CST 2024","911","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_click_fanyi[chrome-20]",""
"passed","Sat Jun 01 21:21:25 CST 2024","Sat Jun 01 21:21:26 CST 2024","1608","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_click_fanyi[chrome-21]",""
"passed","Sat Jun 01 21:21:41 CST 2024","Sat Jun 01 21:21:42 CST 2024","940","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_search1[chrome]",""
"passed","Sat Jun 01 21:21:33 CST 2024","Sat Jun 01 21:21:34 CST 2024","1296","test_case","test_title","TestMainPage","","","test_func3[chrome]",""
"failed","Sat Jun 01 21:21:44 CST 2024","Sat Jun 01 21:21:45 CST 2024","1505","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_wait7[chrome-9]",""
"failed","Sat Jun 01 21:21:34 CST 2024","Sat Jun 01 21:21:36 CST 2024","2919","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_wait7[chrome-2]",""
"failed","Sat Jun 01 21:21:33 CST 2024","Sat Jun 01 21:21:58 CST 2024","24972","test_case","test_title","TestMainPage","","","test_func4[chrome]",""
"failed","Sat Jun 01 21:21:32 CST 2024","Sat Jun 01 21:21:32 CST 2024","358","test_case","test_title","TestMainPage","","","test_func2[chrome]",""
"passed","Sat Jun 01 21:21:29 CST 2024","Sat Jun 01 21:21:31 CST 2024","2310","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_click_fanyi[chrome-27]",""
"passed","Sat Jun 01 21:21:31 CST 2024","Sat Jun 01 21:21:33 CST 2024","1127","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_click_fanyi[chrome-24]",""
"passed","Sat Jun 01 21:21:30 CST 2024","Sat Jun 01 21:21:31 CST 2024","1724","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_click_tieba[chrome]",""
"passed","Sat Jun 01 21:21:39 CST 2024","Sat Jun 01 21:21:41 CST 2024","2235","test_case.test_baidu","test_baidu_mainpage","TestDemo","","","test_search[chrome]",""
"passed","Sat Jun 01 21:21:29 CST 2024","Sat Jun 01 21:21:32 CST 2024","2627","test_case","test_title","TestMainPage","","","标题2","用例描述2--------------------------"
